3s 在下若要隐瞒真相,
415s 曹仁、曹洪,
416s 你们快去安排一下。
419s 遵命!
420s 沉玉。
421s 在。
422s 许楚。
428s 在。
430s 你们二人领军
432s 三日之后启程。
435s 去吧。
436s 遵命。
437s 丞相!
438s 丞相!
440s 那鸡包,
453s 一辆马腾寒碎。
463s 发大军八万,
465s 星夜突袭许昌了。
469s 什么?
470s 二贼这是趁火打劫。
472s 我们刚刚遭受了赤壁之痛。
474s 他们,
475s 他们就奔袭了我们的后方根基了。
477s 丞相,
478s 万一许昌有事,
479s 刘备孙全必然趁势禁闭。
481s 到那时,
482s 大军就不堪收拾了。
483s 听着。
485s 万万不可。
487s 让南军的军营,
489s 知道了萧綦佛策军队。
491s 知道了萧綦佛策军情一乱曲面,
494s 就更加难测了。
498s 我已无法启程。
500s 承玉,
502s 准备车驾,
504s 连夜送我回徐城。
507s 徐竹。
508s 在。
509s 你现在,
510s 马上,
511s 飞起回徐城。
513s 告诉寻玉,
515s 大战起伏的,
528s 因我办事。
530s 驾。
539s 你睡着了吗?
573s 我在听风声。
581s 这外面没有风啊。
583s 风起于清平之梦。
586s 耳朵只能听三里以外的风。
592s 要想听三十里外的风,
594s 就只能平心,
598s 去感受。
600s 寻大人,
608s 军情送达了。
610s 说。
611s 马滕寒随,
612s 兵分两路,
613s 直奔我徐昌二来。
614s 尤其是马滕所部,
616s 日行三百里。
617s 其前锋已过巫师寨。
619s 为何兵分两路?
625s 为何不走着要越过巫师寨呢?
632s 是了啊。
650s 他们表面上看来凶猛。
655s 其实,
656s 他们心里头是害怕丞相的。
660s 西凉的城骑,
661s 多于良计。
662s 照此速度进军,
664s 数日即可到达许昌城下。
667s 大军要等数日,
670s 但是他们的细作探报,
672s 只怕早就进了许昌城里来了。
675s 不好。
676s 城中守军只有六线。
678s 我赶紧关闭所有城门,
679s 严厉禁止任何人出入。
681s 万万不能关城门。
683s 一旦关了城门,
684s 马滕寒随就猜数我城中兵力不足。
689s 反而更加助长他们的贼士。
694s 传下去。
697s 军民人当,
698s 一切入国。
699s 诺。
700s 主公从南郡发回来的信上说,
711s 初九一早,
712s 必到许昌。
715s 不过。
717s 不过什么?
718s 按常理,
719s 丞相到了襄阳,
720s 就该歇息一夜。
721s 管一就会派快马来报。
723s 因此,
724s 这送信的快马,
726s 总该比丞相早到三日才是。
728s 可直到现在,
729s 还没有见到襄阳的快马来报。
733s 由此可见,
734s 丞相怕是耽误了行程。
736s 初九根本到不了许昌。
739s 明日便是初九,
744s 对吗?
745s 是。
746s 即刻安排人手,
750s 打扫南门,
752s 布置迎接丞相的古月遗诏。
756s 传命,
757s 城中所有的文武官员,
759s 明日晨时出客,
762s 带南门列队,
764s 迎接丞相,
766s 班师回城。
769s 公子爷,
770s 前些日子,
773s 中家的大公子,
774s 拿他们家的黑帅和我们的金辈比。
777s 你猜怎么着?
778s 金辈嗖的一声跳到黑帅的背上,
780s 咔嚓一口,
781s 咬成两半了。
784s 好,
785s 给我长志气了,
787s 好生试一下。
792s 中家不是还有一只银帅吗?
796s 明天让金辈跟银帅道道。
798s 遵命,
799s 公子爷请。
800s 蛇!
801s 公子爷,
802s 有蛇!
803s 公子爷,
804s 蛇!
805s 相夫怎么会有蛇呢?
807s 相夫有蛇?
822s 公子爷,
824s 剧毒的五部蛇呀。
826s 公子爷你还不知道吧?
828s 前些日子,
829s 徐大人的战马,
830s 突然间死了。
832s 怎么查都查不出缘由。
834s 小人知道啊,
835s 就是这五部蛇给咬的。
838s 可小人说出来又没人信。
840s 公子爷,
841s 五部蛇,
843s 五部蛇是剧毒蛇。
845s 公子爷,
846s 你可得当心。
847s 马腾含水叫沙来,
855s 徐长已经是兵弱剑狂,
858s 几乎是座空城。
861s 我们拿什么去抵御他们?
863s 其实丞相已经是无奈了,
869s 所以他叫我虚张声势,
871s 热热闹闹地摆他一副
873s 大军搬石回城的场面。
877s 以求震慑敌军,
879s 延缓他们的进军速度。
883s 同时,
884s 也安抚城中军民,
887s 叫他们不要慌张。
889s 末将明白了,
891s 兵不厌诈,
893s 丞相用兵如神啊。
895s 城门旗帜招展,
897s 场面一定要搞得浩大。
900s 把老百姓也动员起来去接驾,
902s 再用两千军士,
906s 一直迎接到十里之外。
909s 要用两千人马出城相迎,
911s 那样一来,
913s 城中的守军就更不足了。
916s 依现在的情势,
918s 这两千军士,
920s 已经无助于城防了。
923s 容他来虚张声势,
925s 却可是马腾、韩遂等八万大军。
928s 迟疑不尽。
930s 除以此。
938s 外头何人?
944s 城中随有奸细,
948s 赶入相府来吧。
952s 大人,
953s 我出去看看。
954s 公子?
960s 拜见公子。
968s 公子,
969s 徐大人,
970s 公子伤情未愈,
972s 请多多保重。
974s 无妨。
975s 徐大人,
977s 我父亲有消息吗?
979s 他何时回虚张啊?
982s 在下正要向公子禀报。
984s 傍晚接丞相快马传命,
988s 说他出寺,
989s 就从南郡出来了。
990s 明天一早,
992s 就班师归来。
993s 那我领着众兄弟,
997s 一起出城迎驾。
998s 慢。
999s 公子伤情未愈啊。
1004s 父亲班师,
1005s 我岂能不出城迎驾?
1008s 再说,
1009s 我竟刚刚遭受赤壁挫败,
1012s 更应该大张旗鼓,
1014s 迎接父亲归来。
1016s 为何呀?
1025s 在下向公子禀报实情。
1029s 丞相再过几日,
1031s 也不会回来。
1033s 许昌成迎驾之举,
1035s 完全是虚张声势,
1037s 震盛。
1039s 这马腾寒衰,
1040s 因此,
1042s 公子真的不必去。
1055s 公子慢走。
1076s 慢点。
1082s 公子爷。
1084s 你出城告诉曹张弟、曹直立,
1086s 还有曹冲弟。
1088s 就说,
1089s 徐大人说了,
1090s 傅相这几天不能回城,
1092s 叫他们明天都不必出城迎驾了。
1096s 遵命。
1098s 我家公子说了,
1099s 命三公子、四公子、少公子,
1101s 三位公子明日不必出城迎驾。
1104s 公子爷。
1108s 你听清楚了。
1116s 不是我不让他们出城迎驾,
1118s 是徐玉不让他们出城迎驾。
1121s 遵命。
1124s 徐大人命三公子、四公子、少公子,
1127s 明日不必出城迎驾。
1130s 那呢?
1135s 公子爷,
1138s 既然丞相明天不能回来,
1140s 那咱们趁此机会,
1141s 把中府的大少爷约出来,
1143s 让他们家的银帅,
1145s 跟咱们家的金辈斗上一斗,
1147s 看谁更厉害。
1150s 把鞠躬给我。
1152s 果然是气势不凡,
1167s 极为难得呀。
1172s 公子爷,
1173s 不是五指吹牛,
1174s 咱家这只金辈,
1176s 那普天之下,
1177s 那是找不出第二个。
1179s 以后,
1189s 我不准你再弄这些玩意儿。
1191s 明天辰时出客,
1199s 随我到城门接驾。
1204s 公子爷,
1205s 明天丞相不是回不来?
1211s 所以呀,
1212s 我公子的就更应该去接驾了。
1214s 谁让我是兄长呢?
1218s 众位文武,
1246s 丞相发来诏令,
1248s 说他三天前,
1250s 已从南郡班师起驾。
1253s 今日必到许昌。
1256s 他这次回来,
1258s 带回步兵八万,
1261s 骑兵三万,
1263s 共计兵马十一万。
1267s 近日,
1269s 城中有些谣言,
1271s 说丞相犯了头疾。
1275s 我告诉你们,
1277s 丞相精神抖擞,
1279s 安康无恙。
1282s 稍后,
1283s 你们就可以亲眼拜见他了。
1286s 还有一件事,
1289s 请诸位千万千万不可泄露。
1296s 丞相除了带十一万大军外,
1299s 还命令青州五万铁骑,
1302s 星夜驰罔无实战,
1306s 袭击西梁马腾寒随的贼军。
1310s 请你不必来吗?
1333s 副相班师,
1335s 我岂能不来接驾?
1337s 我不是跟您说过,
1341s 丞相他是诸公子之长。
1346s 我亲自来接驾,
1348s 百官们才更会信以为真。
1351s 多谢公子。
1352s 那其他几位公子来不来?
1360s 其他几位公子知道父亲不会来,
1363s 为何还要来接驾?
1365s 我猜你就在这儿,
1366s 果然。
1390s 兄弟,
1391s 你怎么来了?
1393s 徐大人不是说...
1395s 我知道,
1397s 但我想二哥肯定会来接驾,
1400s 因为这样才能让百官们相信。
1404s 所以我就来陪二哥了。
1407s 好好好,
1408s 来,
1409s 兄弟,
1410s 咱们一起来恭候副相。
1413s 二位公子
1416s 忠诚、智慧,
1418s 在下
1419s 甚为敬佩。
1421s 兄弟啊,
1422s 也有你来陪这二哥,
1429s 那真是太好不过了。
1431s 谁?
1433s 丞相,
1482s 我不是司马一。
1484s 忠大,
1485s 我们到哪儿了?
1494s 五孤零,
1495s 据许长还有三百多里。
1497s 也不行了,
1499s 我要死了。
1513s 丞相绝不会死。
1515s 我问你,
1519s 我死之后,
1521s 你会不会继续扶托冲儿?
1526s 丞相大业未尽,
1528s 绝不会死。
1530s 我问你,
1532s 会不会继续做冲儿的师父?
1535s 在下绝不负丞相所托。
1545s 停车!
1589s 丞相!
1620s 曹操!
1622s 喊什么喊?
1626s 我在这儿呢!
1627s 丞相知罪,
1639s 丞相知罪,
1641s 丞相知罪。
1653s 痛快,
1654s 这方教撒的痛快。
1656s 丞相刚才这是。
1660s 刚才?
1662s 刚才我怎么了?
1666s 刚才我有点头痛。
1668s 准确地说,
1669s 是头痛欲裂。
1671s 不过现在已经好了。
1673s 丞相怎么会这样?
1677s 我投风犯的时候就是这样。
1679s 一旦疼起来,
1680s 就如山呼海啸,
1682s 刀砍斧劈。
1683s 但是一旦好了,
1685s 即如平常。
1687s 我记得有一回关渡大战吧?
1690s 也是。
1691s 几天几夜疼得我睡不着觉。
1694s 你知道最后怎么好的吗?
1696s 在下不知。
1698s 是陈琳的一篇讨贼新闻给我骂好的。
1702s 在那篇文章里,
1704s 她痛骂我的祖宗三代,
1706s 给我骂得狗血喷头。
1708s 结果呢?
1709s 把我骂得气血流转,
1711s 经脉舒畅,
1712s 头痛也好了。
1714s 众大,
1715s 你刚才说治罪,治什么罪?
1718s 在下知乎丞相大名,
1720s 请丞相治罪。
1722s 我的名字什么不能知乎的,
1724s 不就是个人名吗?
1731s 我问你,
1733s 你说这人的脚,
1735s 为什么比脸和手都要白呢?
1739s 因为他老藏着。
1746s 走吧!
1788s 丞相刚才派快马传信,
1838s 说他今天要在襄阳休息一宿,
1842s 今日就不到许昌了。
1845s 大家都很辛苦,
1847s 今天就回家休息吧。
1850s 明日晨时出客,
1853s 还请大家按时到此聚集,
1857s 继续迎候丞相归来,
1860s 明日丞相必到许昌。
1864s 遵命!
1866s 二位公子,
1882s 请回吧。
1883s 二哥,
1884s 回府吧。
1885s 那冲帝先回,
1889s 我继来。
1891s 你也请回吧。
1896s 我想多等候一会儿,
1900s 兴许傅相能连夜赶回来呢。
1903s 绝对不可能,
1906s 丞相生性谨慎也行。
1912s 我父亲虽然谨慎,
1915s 但却多变,
1917s 徐大人又如何能预知
1919s 我父亲的行踪呢?
1921s 大人请回吧,
1925s 不必管我。
1926s 徐大人,
1927s 徐大人,
1949s 探报回来了。
1953s 派出去的三波哨迹
1955s 已经回来两波了。
1957s 报说马腾的西梁兵
1959s 已行至巫石寨,
1960s 几个扎营不防停止前进了。
1964s 好,
1965s 再探。
1967s 每隔两个时辰
1969s 就派出一波哨迹
1971s 继续寻探。
1973s 诺。
1974s 慢,
1975s 曹匹公子回府了吗?
1982s 大人,
1983s 这事我觉得有些奇怪。
1987s 怎么?
1988s 丞相明摆着回不来,
1992s 可是匹公子
1993s 还独自在南城门口鼓手
1995s 等候丞相。
1996s 真是至诚至孝之人哪。
2008s 可匹公子这份孝心
2010s 丞相也看不见哪。
2014s 但是百官看得见,
2018s 上天看得见,
2020s 只要上天看得见,
2022s 丞相早晚有一天也会看得见。
2025s 匹公子这份成孝
2032s 城里却有些传言。
2034s 说。
2038s 有人私下议论
2039s 说匹公子如此做派
2041s 是为了向丞相
2043s 始终忧宠,
2044s 其意在世子大位。
2047s 宋将军,
2054s 只要你今后
2055s 想太太平平地过上一辈子,
2058s 你记住,
2059s 就永远不要听信别人的传言。
2066s 末将誓言,
2067s 末将誓言,
2068s 末将谨记大人的教诲。
2070s 去吧。
2072s 少公子今天怎么没有来?
2101s 冲帝年幼,
2102s 兴许是累了。
2106s 他今天应该来啊。
2109s 为何?
2113s 丞相今天正午必到,
2115s 他都等了三天了,
2117s 可是偏偏今日却没有来。
2120s 荀大人,
2121s 丞相到了,
2125s 末将已看见车架了。
2130s 造谷月,
2134s 接驾!
2135s 你怎么会知道
2245s 父亲会在今日回城呢?
2247s 连续三天,
2248s 荀大人都令百官
2250s 在南门迎接父亲,
2251s 而父亲却总是不来。
2253s 我就想,
2254s 肯定是父亲
2256s 让荀大人
2257s 在南门大张旗鼓的
2258s 下午西凉军呢。
2260s 不过凡事不过三,
2262s 到了今天,
2263s 父亲就该回来了。
2265s 可是百官都在南门接驾,
2268s 你却为何去了西门迎我?
2270s 仪仗在南门列阵三天,
2272s 全许昌的人都知道了,
2274s 西凉的贼人们
2275s 还能不知道吗?
2276s 如果父亲再从南门进城,
2279s 贼子们定会行刺。
2281s 父亲足智多谋,
2283s 肯定不会从南门进城了。
2285s 那你又怎么知道
2287s 我会从西门进来呢?
2288s 须知我也可能走东门
2290s 或者是北门呢?
2291s 儿子才想,
2292s 西凉军如果攻许昌,
2294s 必从西门来,
2296s 因为西门面山,
2297s 城墙损害得多些。
2299s 父亲不是一直担心
2300s 西门的城防吗?
2302s 父亲进城八成会走西门,
2304s 因为这样可以顺道
2306s 巡视西门的城防。
2310s 正达,
2311s 你觉得我这儿子怎么样?
2314s 聪慧无比,人间罕见。
2317s 不瞒你说,
2321s 我这四个儿子当中
2323s 就属冲儿的资质最佳。
2327s 就那接驾这件事情来说吧,
2330s 皮尔他们几个
2331s 就只知道在南门傻等。
2334s 冲儿年纪虽巧,
2336s 却一眼就看破了玄机,
2339s 比他的几个兄长都强多了。
2343s 丞相所言极是。
2346s 冲儿,
2351s 这个人叫司马怡,
2354s 字重达。
2356s 从现在起他就是你的夜师了。
2359s 去见过师父。
2361s 学生曹中拜见师父。
2364s 在下断断不敢逞时,
2368s 能为公子效力一二,
2370s 在下不胜荣幸。
2372s 拜见副相。
2377s 拜见副相。
2378s 拜见丞相。
2382s 秦玉。
2384s 在。
2385s 劳你们几个在城南
2386s 干等数日,辛苦了。
2388s 丞相能平安归来,
2391s 在下深感欣慰。
2397s 禀丞相,
2399s 这四天里公子曹皮
2401s 每日晨时急到南门等候,
2404s 一直等到深夜才归。
2407s 白官们对皮公子的成效之举
2411s 深为感。
2413s 身为长兄,该当如此。
2417s 刺客拿住了吗?
2419s 儿杀死一个,
2421s 其余的
2423s 尚未捉到。
2425s 他们是哪儿来的?
2427s 刺客用的是
2428s 西梁雕零常见,
2430s 必定是马腾的部下。
2432s 他们发完箭后
2433s 随即混入了
2434s 百姓人群当中。
2436s 儿臣没有捉到,
2438s 是儿臣的失职。
2440s 这个不怪你。
2441s 来,正好
2443s 你们几个都在。
2454s 今日我顺便出个题目
2457s 考考你们。
2458s 请父亲示下。
2460s 眼下刺客肯定
2462s 还在许昌城中。
2464s 你们说说,
2466s 我该如何应对这些刺客。
2469s 你们想如何应对这些刺客?
