18s 你夫君回来啦,你用茶吧。
1398s 水战经验丰,
1402s 此二人不出,
1403s 我们难有胜机。
1405s 大都督,
1407s 你看,
1409s 曹军的战船来了。
1423s 不必惊慌,
1425s 把他们引到浅水中,
1427s 看他们对江青是否熟悉。
1429s 遵命!
1431s 那艘将船!
1433s 丙丞相,
1434s 周瑜亲自率领,
1512s 我击令三十艘快船追杀,
1514s 几乎得手,
1515s 却不料...
1517s 不料还是被他逃脱了,
1519s 对不对?
1521s 是,丞相,
1523s 新建的水军因不熟悉水战,
1527s 又不识长江水情,
1529s 我们的快船被周瑜诱入长江浅潭,
1532s 反遭暗算。
1534s 东廷练兵数月,
1536s 你们就练出了这么个结果?
1541s 丞相,
1542s 湖泊不同意长江,
1544s 东廷是净水,
1546s 长江水流湍急,
1548s 浅分上下游,
1549s 上下风之别,
1550s 我军水势将士
1552s 还不善于运用水流和风势。
1554s 丞相,
1555s 造船三五月可成,
1557s 但水战功夫
1559s 非经年累月才能练成啊。
1561s 那你有什么好的建议吗?
1564s 末将请命,
1567s 我会尽力,
1570s 末将请命,
1572s 沿江设下二十四道水门,
1574s 京乡水军置于外,
1576s 清徐水军置于内,
1578s 设大船,
1579s 如成货,
1580s 不小船,
1581s 为快计,
1582s 白天,
1583s 旗帜船令,
1584s 夜晚,
1585s 灯火通明,
1586s 吴军如若再敢来犯,
1588s 必大败。
1589s 你是水师都督,
1595s 你觉得,
1596s 怎么样能够治理,
1597s 就怎么办,
1598s 我信任你。
1600s 谢丞相,
1601s 丞相,
1613s 沐水军厉害,
1615s 刘备不骑善战,
1618s 孙柳联手抗我身世恼人哪。
1622s 丞相无忧,
1624s 我有一计,
1625s 定能使我军不战而胜。
1632s 蒋干,
1633s 你竟有如此本领,
1637s 还不快说。
1638s 启禀丞相,
1639s 在下与周瑜自幼便是同窗,
1642s 交情甚厚,
1643s 愿凭三寸之舌,
1644s 说服周瑜归降朝廷。
1647s 蒋干,
1648s 你若能说服周瑜来想,
1651s 便是我大胜东吴的第一功,
1654s 就如同当初许忧教我
1656s 吴朝接营一样。
1658s 请丞相静候佳音。
1662s 你来,
1663s 君此行需要何物啊?
1671s 一夜偏舟,
1673s 两位传同即可。
1675s 哦,
1676s 你如在我身边多好啊。
1688s 行驰到燕子几时,
1717s 看见大都督正与曹军交战。
1722s 我,
1723s 我心痛强较,
1728s 寸步难行。
1731s 夫君,
1733s 我舍不得离开你,
1735s 我想永远和你在一起。
1738s 哪怕你杀了我,
1740s 骂我,
1741s 我也想待在你身边。
1743s 禀大都督。
1757s 何事?
1758s 进来说。
1759s 遵命。
1763s 禀大都督,
1764s 在身外来如是,
1765s 他自称故人蒋干,
1766s 请求拜访大都督。
1770s 蒋干?
1772s 他不是在曹操那里做宾客吗?
1775s 来找我做甚?
1777s 夫君,
1778s 曹操派士客来了。
1784s 不错,
1787s 知道了,
1788s 先下去吧。
1802s 小乔,
1803s 这蒋干来法,
1805s 想你借我一臂之力。
1807s 在下尽奉大都的军力。
1815s 莫非你知道我想做什么?
1817s 或许知道。
1821s 我想将计就计。
1844s 紫衣兄,
1846s 辛苦辛苦啊。
1847s 公瑾兄。
1849s 君不必风浪跨江而来。
1852s 是为了
1853s 如主曹操做顺客吧。
1857s 爷。
1860s 公瑾兄,
1861s 你太多疑了吧。
1863s 你我分别多年,
1864s 我今日是特地来看望你。
1867s 但为何一见面
1868s 就扯到顺客上去了?
1869s 难道我蒋某在你心目中
1871s 就如此龌龊吗?
1874s 也罢,
1875s 既然足下不念旧情,
1876s 无端猜忌故人,
1878s 在下就此告辞。
1880s 紫衣兄留步。
1891s 是我错怪紫衣兄了。
1893s 快请快请。
1896s 只要与曹操无关就好。
1898s 紫约,
1899s 有棚子远方来,
1901s 无意乐,
1902s 乐哉乐哉。
1904s 蒋紫衣与我是
1906s 总缴之交,
1908s 情于生死。
1910s 现在,
1912s 他虽然是从江北而来,
1914s 但绝对不是曹操的顺客。
1916s 断断不是,
1918s 在下只为情意而来。
1925s 我周瑜自任大都督以来,
1929s 滴酒不沾。
1931s 今日与少年旧友相逢,
1934s 欢喜不尽。
1936s 为此,
1938s 我偏偏要破一次军法,
1940s 痛饮一场。
1942s 好!
1947s 在今日的酒宴上,
1949s 大家说什么都行,
1951s 就是不准提南北战事。
1953s 唯令者,
1955s 严惩不待。
1957s 遵命!
1960s 小乔,上酒!
1987s 兄台光临,
1989s 在下不胜欢喜,
1991s 特令爱妾小乔监警,
2000s 见过夫人。
2009s 小乔,
2011s 捉你直辞监警。
2013s 本监奉大都督令监警,
2015s 各位当之,
2017s 行酒令,
2019s 如行军令,
2021s 无论何人,断不可违。
2023s 遵命!
2027s 多谢了,
2040s 本监愿为列伪五箭助兴,
2042s 但凡五箭一轮,
2044s 列伪必须满饮三中,
2046s 伪者恕我见下无情。
2048s 遵命!
2050s 喝酒!
2071s 两中!
2114s 想不到嫂夫人箭术如此精美!
2116s 佩服!
2118s 我江东女子多饮食五箭,
2120s 主公府上孙小妹
2122s 更是女中豪杰。
2124s 一轮已罢,
2148s 列伪三中已尽,
2150s 听令,换大功,
2152s 本监要行第二轮酒。
2156s 列伪接遵令,
2166s 务必唱饮!
2168s 唱饮啊!
2170s 好!唱饮!
2172s 公锦,
2174s 子逸请看,
2187s 我江东军事
2189s 雄壮否?
2191s 雄壮,
2193s 雄壮,明不虚传,
2195s 乌狼之诗啊!
2199s 公锦兄,
2201s 子逸请看,
2205s 我江东的粮草军械
2207s 冲族否?
2209s 公锦,兵精,
2211s 良族,
2213s 足可无惧天下!
2219s 要想当年啊,
2221s 我与你同窗读书,
2225s 那是你我食不果腹,
2227s 何等穷苦?
2231s 没想到二十年之后,
2233s 我能有今日之威。
2235s 我周瑜是江东大都督,
2239s 我将在万里长江之上,
2243s 打探一场
2245s 举世空前的
2247s 浩荡水战!
2251s 公锦啊,公锦你醉了,
2253s 早点歇息吧。
2255s 何醉之有啊?
2257s 子逸啊,
2259s 二十多年不见,
2265s 秋风之际千杯一时,
2268s 秋风之际千杯少啊,
2270s 你我务必,
2275s 务必畅饮通宵!
2277s 公锦,公锦,公锦,
2279s 你还精神抖擞,
2281s 但在下已经是不胜酒力,
2283s 想歇息了。
2285s 不准走啊,
2287s 今夜喝酒之,
2289s 酒后,
2291s 你我同窗歇息,
2295s 抵足而免,
2299s 咱们俩好好好好
2301s 续续旧情,
2303s 非得要,
2305s 痛了今夜不可!
2307s 好!好!
2309s 痛了!痛了!
2311s 痛了啊!痛了!
2315s 叫你看曹操手机。
