2s 知道吧袁术称帝了
952s 荒唐如此大事
954s 岂能办得如此荒唐啊
958s 受聘成婚古有定例
962s 是谓天子一年诸侯半年
964s 大夫一季庶民一月
968s 即刻就要迎亲
970s 这才几天哪
972s 难道我们上将军的女儿
974s 还不如庶民之女吗
976s 陛下认为乱世可以从权
978s 陛下认为乱世可以从权
980s 既然婚事已定
984s 以免迟者生变
986s 不袁术已晋帝位
988s 又是为东宫太子娶亲
990s 更应该遵从天子之礼
996s 转告仲氏皇帝
998s 寿春宫一年之后再来迎亲
1000s 尔等听令车驾掉头回城
1002s 尔等听令车驾掉头回城
1004s 遵命回城
1006s 遵命回城
1014s 你就犯下如此大错
1016s 你竟然去跟袁术
1018s 去结什么儿女亲家
1020s 袁术开国称帝
1022s 娶我女儿做太子妃
1026s 谁敢犯我徐州
1028s 正是因为袁术篡逆
1030s 我们才应该跟他划清界限
1032s 难道你要去做反贼的亲家
1036s 去抢着为他殉葬吗
1040s 曹操已经发布了讨贼文
1044s 号令天下诸侯剿灭袁术
1048s 而且他已经亲自率领大军出征了
1050s 十日之内
1052s 必定有一场惊天动地的大战
1058s 就是要把你绑在他的战车上
1070s 但我也已经告诉了使者
1076s 一年之后我们再把女儿送过去
1078s 我们且看袁术这个皇帝
1080s 是否能够坐得长久
1082s 如果做得下去
1084s 太子妃是他的
1088s 也不至于殃及到我们
1092s 好好
1094s 好好
1096s 奉先啊以后有什么事情
1098s 奉先啊以后有什么事情
1100s 请务必和我商量之后再做决定
1106s 报上将军天子诏书到
1108s 报上将军天子诏书到
1132s 袁术悖君篡逆
1136s 朕已拜曹操为护国大将军
1140s 统领天下王师征讨袁术
1142s 特救吕布为徐州牧
1146s 即日率兵出征钦此
1158s 请转奏陛下上将军奉诏
1160s 请转奏陛下上将军奉诏
1188s 朝廷终于把徐州牧封给我了
1194s 不是朝廷是曹操
1196s 曹操之所以把徐州封给你
1198s 曹操之所以把徐州封给你
